   -2.835    -0.9367   -2.756    -0.7423  -2.689    -0.5311	  -2.631    -0.3672   -2.58    -0.2245  -2.534    -0.1062    -2.492  -0.009528	   -2.455    0.06558	   -2.42     0.1156	  -2.388     0.1517	   -2.358     0.1703 
   -2.604    -0.3533   -2.525    -0.1642  -2.458    0.04493	    -2.4     0.2084  -2.349     0.3406  -2.303     0.4451    -2.262     0.5224	   -2.224     0.5691	  -2.189     0.5894	  -2.157     0.5977	   -2.127     0.5902 
    -2.45    -0.1126    -2.37    0.07846  -2.303     0.2842	  -2.245     0.4412  -2.194     0.5546  -2.148     0.6357    -2.107     0.6874	   -2.069      0.703	  -2.035      0.699	  -2.002     0.6874	   -1.972     0.6629 
   -2.303   -0.03035   -2.224     0.1723  -2.157     0.3701	  -2.099     0.5147  -2.048     0.6046  -2.002     0.6636    -1.961     0.6968	   -1.923     0.6931	  -1.888     0.6682	  -1.856     0.6348	   -1.826     0.5884 
   -2.136    -0.0691   -2.057     0.1303   -1.99     0.3197	  -1.932      0.449  -1.881     0.5111  -1.835     0.5391    -1.793     0.5403	   -1.756     0.5013	  -1.721     0.4496	  -1.689     0.3883	   -1.659     0.3084 
   -2.052    -0.1755   -1.972    0.01995  -1.906     0.1956	  -1.847     0.3064  -1.796     0.3428  -1.751     0.3508    -1.709     0.3402	   -1.671     0.2794	  -1.637     0.2068	  -1.604     0.1348	   -1.574    0.05805 
   -1.947    -0.3735   -1.868    -0.1889  -1.801    -0.0317	  -1.743    0.05994  -1.692    0.08171  -1.646    0.07664    -1.604    0.05614	   -1.567  -0.003532	  -1.532   -0.06778	    -1.5    -0.1286	    -1.47    -0.1946 
    -1.86    -0.5733    -1.78    -0.4037  -1.714    -0.2571	  -1.656    -0.1738  -1.604    -0.1568  -1.559    -0.1605    -1.517     -0.177	    -1.48    -0.2301	  -1.445    -0.2892	  -1.413    -0.3518	   -1.383    -0.4279 
    -1.78    -0.7724   -1.701    -0.6107  -1.634    -0.4717	  -1.576    -0.3885  -1.525    -0.3697   -1.48    -0.3711    -1.438    -0.3861	     -1.4    -0.4394	  -1.366    -0.4999	  -1.333    -0.5591	   -1.303    -0.6229 
   -1.751    -0.8526   -1.671    -0.6934  -1.604    -0.5541	  -1.546    -0.4703  -1.495    -0.4503   -1.45    -0.4509    -1.408    -0.4646	    -1.37    -0.5127	  -1.336    -0.5672	  -1.303    -0.6211	   -1.273    -0.6834 
   -1.684    -0.9834   -1.604    -0.8292  -1.537    -0.6897	   -1.48    -0.6048  -1.428     -0.583  -1.383     -0.583    -1.341    -0.5952	   -1.303    -0.6364	  -1.269    -0.6799	  -1.236    -0.7261	   -1.206    -0.7836 
